,Year,Player,Win,Kills,Deaths,KD-ratio
0,2018,AltoInferno,0,11,29,0.3793103448275862
1,2018,AltoInferno,0,14,27,0.5185185185185185
2,2018,BW,0,17,20,0.85
3,2018,DivisionByZero,0,33,41,0.8048780487804879
4,2018,DivisionByZero,0,8,34,0.23529411764705882
5,2018,DivisionByZero,0,28,48,0.5833333333333334
6,2018,HyperVivify,0,15,23,0.6521739130434783
7,2018,Janne,0,40,46,0.8695652173913043
8,2018,Bazooka,0,39,62,0.6290322580645161
9,2018,BW,0,4,4,1.0
10,2018,BW,0,8,11,0.7272727272727273
11,2018,DivisionByZero,0,17,42,0.40476190476190477
12,2018,KingFuryKiller,0,15,21,0.7142857142857143
13,2018,KingFuryKiller,0,114,143,0.7972027972027972
14,2018,BW,0,12,13,0.9230769230769231
15,2018,KingFuryKiller,0,15,17,0.8823529411764706
16,2018,DivisionByZero,0,17,34,0.5
17,2018,KingFuryKiller,0,11,36,0.3055555555555556
18,2018,KingFuryKiller,0,41,57,0.7192982456140351
19,2018,KingFuryKiller,0,48,66,0.7272727272727273
20,2018,GrizzlyOne95,0,11,33,0.3333333333333333
21,2018,KingFuryKiller,0,10,14,0.7142857142857143
22,2018,KingFuryKiller,0,21,37,0.5675675675675675
23,2019,BW,0,9,24,0.375
24,2019,BW,0,5,25,0.2
25,2019,Ruther,0,9,27,0.3333333333333333
26,2019,Ruther,0,9,35,0.2571428571428571
27,2019,DivisionByZero,0,45,102,0.4411764705882353
28,2019,Janne,0,4,11,0.36363636363636365
29,2019,Bzone Lord,0,2,13,0.15384615384615385
30,2019,Bzone Lord,0,30,55,0.5454545454545454
31,2019,Bzone Lord,0,21,24,0.875
32,2019,Ruther,0,4,19,0.21052631578947367
33,2019,DivisionByZero,0,10,25,0.4
34,2019,DivisionByZero,0,12,33,0.36363636363636365
35,2019,Janne,0,22,29,0.7586206896551724
36,2019,Bzone Lord,0,30,32,0.9375
37,2019,Cygnus X-1,0,8,20,0.4
38,2019,Cygnus X-1,0,20,15,1.3333333333333333
39,2019,Cygnus X-1,0,13,22,0.5909090909090909
40,2019,Bzone Lord,0,4,16,0.25
41,2019,BW,0,7,20,0.35
42,2019,BW,0,9,7,1.2857142857142858
43,2019,ZAID,0,35,95,0.3684210526315789
44,2019,ZAID,0,5,13,0.38461538461538464
45,2019,Ruther,0,21,37,0.5675675675675675
46,2019,Janne,0,16,28,0.5714285714285714
47,2019,Janne,0,42,54,0.7777777777777778
48,2019,Janne,0,9,27,0.3333333333333333
49,2019,Janne,0,11,22,0.5
50,2019,Cygnus X-1,0,22,24,0.9166666666666666
51,2019,BW,0,18,26,0.6923076923076923
52,2019,BW,0,17,27,0.6296296296296297
53,2019,BW,0,4,13,0.3076923076923077
54,2019,BW,0,1,8,0.125
55,2019,BW,0,18,23,0.782608695652174
56,2019,BW,0,9,11,0.8181818181818182
57,2019,Cygnus X-1,0,9,11,0.8181818181818182
58,2019,HyperVivify,0,5,5,1.0
59,2019,Cygnus X-1,0,60,50,1.2
60,2019,Cygnus X-1,0,49,29,1.6896551724137931
61,2019,Bzone Lord,0,1,21,0.047619047619047616
62,2019,Cygnus X-1,0,1,11,0.09090909090909091
63,2019,Cygnus X-1,0,7,15,0.4666666666666667
64,2019,Janne,0,16,49,0.32653061224489793
65,2019,Bzone Lord,0,1,12,0.08333333333333333
66,2019,ZAID,0,19,44,0.4318181818181818
67,2019,ZAID,0,31,46,0.6739130434782609
68,2019,Cygnus X-1,0,17,28,0.6071428571428571
69,2019,Cygnus X-1,0,11,24,0.4583333333333333
70,2019,DivisionByZero,0,18,17,1.0588235294117647
71,2019,DivisionByZero,0,10,14,0.7142857142857143
72,2019,Ruther,0,28,39,0.717948717948718
73,2019,Ruther,0,3,14,0.21428571428571427
74,2019,Janne,0,46,34,1.3529411764705883
75,2019,Ruther,0,14,31,0.45161290322580644
76,2019,BW,0,27,23,1.173913043478261
77,2019,BW,0,8,19,0.42105263157894735
78,2019,KingFuryKiller,0,10,27,0.37037037037037035
79,2019,Cygnus X-1,0,33,35,0.9428571428571428
80,2019,Cygnus X-1,0,17,7,2.4285714285714284
81,2019,KingFuryKiller,0,6,18,0.3333333333333333
82,2019,Cygnus X-1,0,17,26,0.6538461538461539
83,2019,KingFuryKiller,0,38,49,0.7755102040816326
84,2019,KingFuryKiller,0,2,23,0.08695652173913043
85,2019,HyperVivify,0,26,33,0.7878787878787878
86,2019,Janne,0,39,42,0.9285714285714286
87,2019,KingFuryKiller,0,3,40,0.075
88,2019,Ruther,0,17,59,0.288135593220339
89,2019,Ruther,0,3,16,0.1875
90,2019,BW,0,22,36,0.6111111111111112
91,2019,Ruther,0,4,14,0.2857142857142857
92,2019,Ruther,0,12,9,1.3333333333333333
93,2019,Ruther,0,37,41,0.9024390243902439
94,2019,Ruther,0,8,20,0.4
95,2019,ZAID,0,39,44,0.8863636363636364
96,2019,HyperVivify,0,33,28,1.1785714285714286
97,2019,HyperVivify,0,21,13,1.6153846153846154
98,2019,Janne,0,36,27,1.3333333333333333
