,Year,Player,Win,Kills,Deaths,KD-ratio
0,2018,Bazooka,1,29,11,2.6363636363636362
1,2018,AltoInferno,0,11,29,0.3793103448275862
2,2018,Bazooka,1,27,14,1.9285714285714286
3,2018,AltoInferno,0,14,27,0.5185185185185185
4,2018,Bazooka,1,20,17,1.1764705882352942
5,2018,BW,0,17,20,0.85
6,2018,Bazooka,1,41,33,1.2424242424242424
7,2018,DivisionByZero,0,33,41,0.8048780487804879
8,2018,Bazooka,1,34,8,4.25
9,2018,DivisionByZero,0,8,34,0.23529411764705882
10,2018,Bazooka,1,48,28,1.7142857142857142
11,2018,DivisionByZero,0,28,48,0.5833333333333334
12,2018,Bazooka,1,23,15,1.5333333333333334
13,2018,HyperVivify,0,15,23,0.6521739130434783
14,2018,Bazooka,1,46,40,1.15
15,2018,Janne,0,40,46,0.8695652173913043
16,2018,Janne,1,62,39,1.5897435897435896
17,2018,Bazooka,0,39,62,0.6290322580645161
18,2018,DivisionByZero,1,4,4,1.0
19,2018,BW,0,4,4,1.0
20,2018,DivisionByZero,1,11,8,1.375
21,2018,BW,0,8,11,0.7272727272727273
22,2018,HyperVivify,1,42,17,2.4705882352941178
23,2018,DivisionByZero,0,17,42,0.40476190476190477
24,2018,Bazooka,1,21,15,1.4
25,2018,KingFuryKiller,0,15,21,0.7142857142857143
26,2018,Bazooka,1,143,114,1.2543859649122806
27,2018,KingFuryKiller,0,114,143,0.7972027972027972
28,2018,KingFuryKiller,1,13,12,1.0833333333333333
29,2018,BW,0,12,13,0.9230769230769231
30,2018,BW,1,17,15,1.1333333333333333
31,2018,KingFuryKiller,0,15,17,0.8823529411764706
32,2018,KingFuryKiller,1,34,17,2.0
33,2018,DivisionByZero,0,17,34,0.5
34,2018,DivisionByZero,1,36,11,3.272727272727273
35,2018,KingFuryKiller,0,11,36,0.3055555555555556
36,2018,DivisionByZero,1,57,41,1.3902439024390243
37,2018,KingFuryKiller,0,41,57,0.7192982456140351
38,2018,DivisionByZero,1,66,48,1.375
39,2018,KingFuryKiller,0,48,66,0.7272727272727273
40,2018,KingFuryKiller,1,33,11,3.0
41,2018,GrizzlyOne95,0,11,33,0.3333333333333333
42,2018,GrizzlyOne95,1,14,10,1.4
43,2018,KingFuryKiller,0,10,14,0.7142857142857143
44,2018,Janne,1,37,21,1.7619047619047619
45,2018,KingFuryKiller,0,21,37,0.5675675675675675
46,2019,DivisionByZero,1,24,9,2.6666666666666665
47,2019,BW,0,9,24,0.375
48,2019,DivisionByZero,1,25,5,5.0
49,2019,BW,0,5,25,0.2
50,2019,DivisionByZero,1,27,9,3.0
51,2019,Ruther,0,9,27,0.3333333333333333
52,2019,DivisionByZero,1,35,9,3.888888888888889
53,2019,Ruther,0,9,35,0.2571428571428571
54,2019,Janne,1,102,45,2.2666666666666666
55,2019,DivisionByZero,0,45,102,0.4411764705882353
56,2019,DivisionByZero,1,11,4,2.75
57,2019,Janne,0,4,11,0.36363636363636365
58,2019,DivisionByZero,1,13,2,6.5
59,2019,Bzone Lord,0,2,13,0.15384615384615385
60,2019,DivisionByZero,1,55,30,1.8333333333333333
61,2019,Bzone Lord,0,30,55,0.5454545454545454
62,2019,Ruther,1,24,21,1.1428571428571428
63,2019,Bzone Lord,0,21,24,0.875
64,2019,Bzone Lord,1,19,4,4.75
65,2019,Ruther,0,4,19,0.21052631578947367
66,2019,HyperVivify,1,25,10,2.5
67,2019,DivisionByZero,0,10,25,0.4
68,2019,HyperVivify,1,33,12,2.75
69,2019,DivisionByZero,0,12,33,0.36363636363636365
70,2019,Bzone Lord,1,29,22,1.3181818181818181
71,2019,Janne,0,22,29,0.7586206896551724
72,2019,Janne,1,32,30,1.0666666666666667
73,2019,Bzone Lord,0,30,32,0.9375
74,2019,DivisionByZero,1,20,8,2.5
75,2019,Cygnus X-1,0,8,20,0.4
76,2019,DivisionByZero,1,15,20,0.75
