,Year,Player,Win,Kills,Deaths,KD-ratio
0,2018,Bazooka,1,29,11,2.6363636363636362
1,2018,Bazooka,1,27,14,1.9285714285714286
2,2018,Bazooka,1,20,17,1.1764705882352942
3,2018,Bazooka,1,41,33,1.2424242424242424
4,2018,Bazooka,1,34,8,4.25
5,2018,Bazooka,1,48,28,1.7142857142857142
6,2018,Bazooka,1,23,15,1.5333333333333334
7,2018,Bazooka,1,46,40,1.15
8,2018,Janne,1,62,39,1.5897435897435896
9,2018,DivisionByZero,1,4,4,1.0
10,2018,DivisionByZero,1,11,8,1.375
11,2018,HyperVivify,1,42,17,2.4705882352941178
12,2018,Bazooka,1,21,15,1.4
13,2018,Bazooka,1,143,114,1.2543859649122806
14,2018,KingFuryKiller,1,13,12,1.0833333333333333
15,2018,BW,1,17,15,1.1333333333333333
16,2018,KingFuryKiller,1,34,17,2.0
17,2018,DivisionByZero,1,36,11,3.272727272727273
18,2018,DivisionByZero,1,57,41,1.3902439024390243
19,2018,DivisionByZero,1,66,48,1.375
20,2018,KingFuryKiller,1,33,11,3.0
21,2018,GrizzlyOne95,1,14,10,1.4
22,2018,Janne,1,37,21,1.7619047619047619
23,2019,DivisionByZero,1,24,9,2.6666666666666665
24,2019,DivisionByZero,1,25,5,5.0
25,2019,DivisionByZero,1,27,9,3.0
26,2019,DivisionByZero,1,35,9,3.888888888888889
27,2019,Janne,1,102,45,2.2666666666666666
28,2019,DivisionByZero,1,11,4,2.75
29,2019,DivisionByZero,1,13,2,6.5
30,2019,DivisionByZero,1,55,30,1.8333333333333333
31,2019,Ruther,1,24,21,1.1428571428571428
32,2019,Bzone Lord,1,19,4,4.75
33,2019,HyperVivify,1,25,10,2.5
34,2019,HyperVivify,1,33,12,2.75
35,2019,Bzone Lord,1,29,22,1.3181818181818181
36,2019,Janne,1,32,30,1.0666666666666667
37,2019,DivisionByZero,1,20,8,2.5
38,2019,DivisionByZero,1,15,20,0.75
39,2019,Bzone Lord,1,22,13,1.6923076923076923
40,2019,Cygnus X-1,1,16,4,4.0
41,2019,Bzone Lord,1,20,7,2.857142857142857
42,2019,Bzone Lord,1,7,9,0.7777777777777778
43,2019,DivisionByZero,1,95,35,2.7142857142857144
44,2019,DivisionByZero,1,13,5,2.6
45,2019,Cygnus X-1,1,37,21,1.7619047619047619
46,2019,HyperVivify,1,28,16,1.75
47,2019,HyperVivify,1,54,42,1.2857142857142858
48,2019,HyperVivify,1,27,9,3.0
49,2019,HyperVivify,1,22,11,2.0
50,2019,Ruther,1,24,22,1.0909090909090908
51,2019,Cygnus X-1,1,26,18,1.4444444444444444
52,2019,Cygnus X-1,1,27,17,1.588235294117647
53,2019,HyperVivify,1,13,4,3.25
54,2019,HyperVivify,1,8,1,8.0
55,2019,ZAID,1,23,18,1.2777777777777777
56,2019,HyperVivify,1,11,9,1.2222222222222223
57,2019,HyperVivify,1,11,9,1.2222222222222223
58,2019,Cygnus X-1,1,5,5,1.0
59,2019,Ruther,1,50,60,0.8333333333333334
60,2019,Ruther,1,29,49,0.5918367346938775
61,2019,HyperVivify,1,21,1,21.0
62,2019,HyperVivify,1,11,1,11.0
63,2019,HyperVivify,1,15,7,2.142857142857143
64,2019,HyperVivify,1,49,16,3.0625
65,2019,HyperVivify,1,12,1,12.0
66,2019,HyperVivify,1,44,19,2.3157894736842106
67,2019,HyperVivify,1,46,31,1.4838709677419355
68,2019,Janne,1,28,17,1.6470588235294117
69,2019,Janne,1,24,11,2.1818181818181817
70,2019,Janne,1,17,18,0.9444444444444444
71,2019,Janne,1,14,10,1.4
72,2019,Janne,1,39,28,1.3928571428571428
73,2019,Janne,1,14,3,4.666666666666667
74,2019,Ruther,1,34,46,0.7391304347826086
75,2019,Janne,1,31,14,2.2142857142857144
76,2019,KingFuryKiller,1,23,27,0.8518518518518519
77,2019,KingFuryKiller,1,19,8,2.375
78,2019,Bzone Lord,1,27,10,2.7
79,2019,KingFuryKiller,1,35,33,1.0606060606060606
80,2019,KingFuryKiller,1,7,17,0.4117647058823529
81,2019,Cygnus X-1,1,18,6,3.0
82,2019,KingFuryKiller,1,26,17,1.5294117647058822
83,2019,DivisionByZero,1,49,38,1.2894736842105263
84,2019,HyperVivify,1,23,2,11.5
85,2019,KingFuryKiller,1,33,26,1.2692307692307692
86,2019,KingFuryKiller,1,42,39,1.0769230769230769
87,2019,Janne,1,40,3,13.333333333333334
88,2019,KingFuryKiller,1,59,17,3.4705882352941178
89,2019,KingFuryKiller,1,16,3,5.333333333333333
90,2019,Ruther,1,36,22,1.6363636363636365
91,2019,BW,1,14,4,3.5
92,2019,HyperVivify,1,9,12,0.75
93,2019,HyperVivify,1,41,37,1.1081081081081081
94,2019,ZAID,1,20,8,2.5
95,2019,Ruther,1,44,39,1.1282051282051282
96,2019,ZAID,1,28,33,0.8484848484848485
97,2019,ZAID,1,13,21,0.6190476190476191
98,2019,Ruther,1,27,36,0.75
